AirportName,Number of Departures,Number of Connections,Year,Lat Airport,Lng Airport,Provinces
GILLAM,588,2,2012,56.357051,-94.705728,ON
SARNIA,1370,1,2016,42.9932232,-82.3062709,ON
SIOUX LOOKOUT,8096,22,2012,50.1151029,-91.9027131,ON
SUDBURY,8128,10,2012,46.6228445,-80.7956531,ON
THUNDER BAY,10581,18,2017,48.37426019999999,-89.3194986,ON
RED LAKE,3983,11,2012,51.0669864,-93.7941053,ON
GILLAM,313,1,2006,56.357051,-94.705728,ON
HAMILTON,2892,16,2012,43.1685644,-79.9288234,ON
KINGSTON,1547,2,2005,44.22349,-76.599458,ON
FORT FRANCES,1155,2,2012,48.654167,-93.439722,ON
WINDSOR,3721,10,2015,42.2715029,-82.9582822,ON
KUUJJUARAPIK,1295,7,2014,55.2828293,-77.7581727,ON
SANIKILUAQ,314,2,2012,56.53598599999999,-79.2461486,ON
KUUJJUARAPIK,1198,6,2012,55.2828293,-77.7581727,ON
PEAWANUCK,105,1,2009,54.98932600000001,-85.43906609999999,ON
EASTMAIN,622,4,2003,52.23078460000001,-78.5195816,ON
LESTER B. PEARSON,197914,411,2012,43.67771760000001,-79.6248197,ON
FORT FRANCES,1114,3,2018,48.654167,-93.439722,ON
KITCHENER,2043,5,2012,43.4557903,-80.3858475,ON
SACHIGO LAKE,573,2,2011,53.0641646,-93.3444368,ON
FORT HOPE,351,4,2018,51.561711,-87.906953,ON
REPULSE BAY,656,6,2017,43.67771760000001,-79.6248197,ON
BIG TROUT LAKE,1146,6,2011,53.818763,-89.83509289999999,ON
FORT SEVERN,313,2,2011,56.0186303,-87.67922539999999,ON
KASABONIKA,833,5,2011,53.524722,-88.642778,ON
FOND DU LAC,47,1,2011,43.7696897,-88.4842863,ON
MOOSONEE,1132,3,2006,51.2897031,-80.6127405,ON
