,AirportName,Number of Departures,Number of Connections,Year
2876,KENORA,1187,4,2003
2877,QUESNEL,949,2,2013
2878,GODS RIVER,1089,10,2018
2879,CORAL HARBOUR,626,5,2006
2880,KENORA,1577,3,2010
2881,HIGH LEVEL,554,2,2011
2882,DEER LAKE,4866,13,2009
2883,CORNWALL,79,1,2009
2884,UMIUJAQ,568,2,2008
2885,ISLAND LAKE/GARDEN HILL,995,3,2004
2886,AUPALUK,846,6,2004
2887,POINTS NORTH LAND,98,4,2011
2888,SEPT ILES,3658,14,2003
2889,PEAWANUCK,104,1,2016
2890,STEPHENVILLE,314,2,2007
2891,UMIUJAQ,519,4,2003
2892,WHITEHORSE,1643,10,2004
2893,RED SUCKER LAKE,249,1,2006
2894,PENTICTON,1153,3,2009
2895,MONT TREMBLANT,189,4,2016
2896,JEAN LESAGE INTL,11378,24,2004
2897,TALOYAK,734,10,2003
2898,NANAIMO ARPT,2305,2,2009
2899,STONY RAPIDS,2317,5,2004
2900,BELLA BELLA,948,2,2005
2901,PAULATUK,261,2,2003
2902,PRINCE ALBERT,3378,4,2004
2903,CHURCHILL FALLS,156,1,2003
2904,BAIE COMEAU,1594,7,2008
2905,NORMAN WELLS,2402,9,2015
2906,GRANDE PRAIRIE,3566,4,2010
2907,GANDER INTL,523,6,2005
2908,POVUNGNITUK,53115,112,2005
2909,LESTER B. PEARSON,200577,473,2014
2910,AKULIVIK,913,5,2004
2911,ST JOHN'S,8732,19,2007
2912,YELLOWKNIFE,9775,30,2009
2913,WEBEQUIE,554,7,2017
2914,NORMAN WELLS,1981,5,2004
2915,SARNIA,1295,1,2004
2916,PAULATUK,260,2,2006
2917,CLYDE RIVER,837,5,2010
2918,DAWSON CREEK,946,4,2004
2919,HALIFAX,27421,76,2004
2920,DRYDEN,1875,6,2004
2921,NORMAN WELLS,2157,8,2006
2922,CASTLEGAR,1348,2,2003
2923,THE PAS,1555,4,2004
2924,MEDICINE HAT,1484,1,2015
2925,SARNIA,1053,2,2006
2926,HAY RIVER,1434,4,2015
2927,BELLA COOLA,391,2,2014
2928,BROUGHTON ISLAND,571,2,2004
2929,ST JOHN,4007,14,2003
2930,PRINCE GEORGE,6120,19,2016
2931,CAT LAKE,565,2,2009
2932,RAINBOW LAKE,403,2,2005
2933,BATHURST,677,1,2011
2934,ST ANTHONY,1318,6,2009
2935,HOPEDALE,576,2,2008
2936,PICKLE LAKE,563,5,2017
2937,PIKANGIKUM,1096,8,2004
2938,HOLMAN,259,3,2017
2939,SACHS HARBOUR,157,2,2015
2940,DAUPHIN,1148,2,2003
2941,MUSKRAT DAM,504,9,2004
2942,CAPE DORSET,570,3,2003
2943,TASIUJUAQ,614,4,2003
2944,WABUSH,2930,10,2008
2945,TALOYAK,547,5,2005
2946,SANDSPIT,388,1,2014
2947,SIOUX LOOKOUT,2713,8,2005
2948,SASKATOON,9200,20,2003
2949,LA GRANDE,790,6,2004
2950,ST ANTHONY,1890,8,2003
2951,CAMBRIDGE BAY,1158,8,2013
2952,COPPERMINE,1281,5,2011
2953,MEDICINE HAT,1301,1,2009
2954,SAULT STE-MARIE,3795,5,2003
2955,WOLLASTON LAKE,826,4,2003
2956,SEPT ILES,5472,15,2016
2957,FLIN FLON,1486,5,2004
2958,MAKKOVIK,468,2,2005
2959,PRINCE ALBERT,76,5,2018
2960,GRISE FIORD,102,1,2005
2961,ATTAWAPISKAT,448,3,2015
2962,SANDY LAKE,1101,7,2010
2963,PEAWANUCK,102,1,2010
2964,PIERRE ELLIOTT TRUDEAU INTL,67607,155,2003
2965,CHEVERY,1636,5,2011
2966,BATHURST,682,1,2018
2967,SEPT ILES,4906,16,2006
2968,FORT MCPHERSON,135,1,2003
2969,THUNDER BAY,10736,29,2016
2970,SWAN RIVER,574,1,2003
2971,OLD CROW,252,3,2010
2972,ISLAND LAKE/GARDEN HILL,126,2,2015
2973,CHARLO,335,2,2016
2974,KAMLOOPS,3548,8,2004
2975,JEAN LESAGE INTL,11614,23,2003
2976,FORT NORMAN,1300,2,2003
2977,STONY RAPIDS,94,5,2011
2978,TUKTOYAKTUK,680,2,2004
2979,QUAQTAQ,726,2,2005
2980,FORT HOPE,2450,7,2003
2981,MASSET,357,1,2012
2982,THUNDER BAY,11358,20,2010
2983,FORT SEVERN,336,2,2016
2984,NAIN,336,2,2003
2985,ABBOTSFORD,4200,11,2003
2986,MUSKRAT DAM,552,4,2017
2987,DEER LAKE,583,6,2004
2988,FORT SEVERN,313,2,2012
2989,INUKJUAK,982,3,2008
2990,DEER LAKE,5568,13,2006
2991,GILLIES BAY,1019,1,2003
2992,BATHURST,365,1,2006
2993,CAMPBELL RIVER,4607,7,2004
2994,HAMILTON,5658,27,2005
2995,ST JOHN'S,10794,30,2003
2996,EDMONTON INTL,34600,66,2004
2997,INUVIK,3787,15,2009
2998,DAWSON CITY,626,3,2003
2999,GRISE FIORD,103,1,2003
3000,CHEVERY,1886,8,2006
3001,WABUSH,1634,12,2003
3002,KELOWNA,11069,26,2013
3003,KANGIRSUK,982,3,2008
3004,VICTORIA,15170,16,2005
3005,ST JOHN,3487,6,2012
3006,HAY RIVER,845,3,2006
3007,PEACE RIVER,649,3,2003
3008,GOOSE BAY,4459,15,2005
3009,ST LEONARD,3,1,2003
3010,CLYDE RIVER,648,6,2015
3011,WINDSOR,2645,3,2003
3012,DRYDEN,1870,4,2010
3013,WHALE COVE,569,4,2015
3014,PORT HARDY,1220,3,2003
3015,AUPALUK,832,3,2015
3016,MONT JOLI,548,2,2004
3017,KELOWNA,15278,31,2017
3018,PIKANGIKUM,685,7,2007
3019,SEPT ILES,4047,10,2004
3020,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,29444,72,2012
3021,GRISE FIORD,105,1,2009
3022,CRANBROOK,1983,4,2003
3023,TASIUJUAQ,830,2,2018
3024,FORT SEVERN,314,2,2008
3025,TALOYAK,609,7,2013
3026,HAMILTON,7289,26,2004
3027,TIMMINS,4318,4,2005
3028,QUAQTAQ,726,2,2007
3029,FORT FRANCES,1114,3,2017
3030,GRISE FIORD,104,1,2013
3031,FORT SMITH,913,3,2007
3032,TORONTO ISLAND,65579,138,2016
3033,RESOLUTE,564,5,2009
3034,BELLA BELLA,781,3,2017
3035,"ROUND LAKE, OT",588,7,2004
3036,KAMLOOPS,3779,9,2007
3037,THE PAS,959,5,2014
3038,YARMOUTH,3,1,2003
3039,THE PAS,835,3,2015
3040,DAWSON CREEK,1296,6,2003
3041,BELLA COOLA,442,2,2008
3042,GOOSE BAY,4133,18,2003
3043,THUNDER BAY,11861,19,2007
3044,VICTORIA,14032,16,2003
3045,FORT ALBANY,681,2,2017
3046,ROUYN,1678,6,2012
3047,BAGOTVILLE,1028,1,2004
3048,FORT CHIPEWYAN,328,2,2017
3049,QUAQTAQ,724,2,2009
3050,GASPE,1599,3,2003
3051,DAWSON CITY,711,3,2016
3052,SYDNEY,1879,7,2003
3053,TIMMINS,4752,6,2004
3054,MONT JOLI,1327,10,2017
3055,TALOYAK,612,6,2008
3056,HOLMAN,258,2,2003
3057,BONAVENTURE,1513,5,2014
3058,GRANDE PRAIRIE,2723,6,2003
3059,SOUTH INDIAN LAKE,680,3,2004
3060,POINTS NORTH LAND,304,2,2006
3061,SANIKILUAQ,306,2,2013
3062,PENTICTON,2562,3,2003
3063,RED SUCKER LAKE,94,4,2015
3064,CHARLOTTETOWN,3579,13,2009
3065,MOOSONEE,1014,3,2013
3066,HIGH LEVEL,1108,4,2016
3067,OXFORD HOUSE,382,3,2006
3068,HALIFAX,27372,92,2014
3069,RANKIN INLET,4024,16,2008
3070,THE PAS,1494,4,2006
3071,MEDICINE HAT,1297,1,2003
3072,GASPE,1460,2,2010
3073,DAWSON CREEK,613,5,2006
3074,HALIFAX,26214,73,2006
3075,INUKJUAK,670,5,2003
3076,GJOA HAVEN,872,8,2011
3077,DEER LAKE,5316,15,2003
3078,DAUPHIN,1157,2,2005
3079,CAPE DORSET,570,3,2005
3080,SALLUIT,789,4,2012
3081,EASTMAIN,624,2,2004
3082,HALIFAX,24916,60,2003
3083,HAMILTON,6510,30,2007
3084,MONT JOLI,721,4,2003
3085,LITTLE GRAND RAPIDS,261,2,2018
3086,NAKINA,1096,2,2003
3087,MARY'S HARBOUR,262,2,2007
3088,QUAQTAQ,732,2,2012
3089,BELLA COOLA,456,2,2004
3090,BIG TROUT LAKE,938,6,2017
3091,PUKATAWAGAN,196,1,2003
3092,IQALUIT,3140,17,2003
3093,SANIKILUAQ,236,3,2004
3094,CLYDE RIVER,412,2,2003
3095,VICTORIA,15803,23,2004
3096,WASKAGANISH,894,4,2018
3097,WILLIAMS LAKE,1490,3,2003
3098,POINTS NORTH LAND,505,5,2003
3099,KANGIKSUJUAQ,726,2,2017
3100,BELLA COOLA,436,2,2006
3101,HOLMAN,271,2,2007
3102,MIRABEL,2199,16,2005
3103,NORTH BAY,2040,4,2017
3104,LYNN LAKE,262,2,2003
3105,MONT TREMBLANT,38,1,2006
3106,PAULATUK,262,2,2004
3107,MUSKRAT DAM,104,1,2005
3108,FORT SEVERN,312,3,2014
3109,INUKJUAK,959,4,2010
3110,NORWAY HOUSE,444,2,2006
3111,REPULSE BAY,838,6,2004
3112,KAPUSKASING,1052,1,2005
3113,INUVIK,2332,11,2003
3114,STEPHENVILLE,476,4,2006
3115,KAPUSKASING,664,1,2003
3116,NANAIMO ARPT,3895,3,2003
3117,DAWSON CREEK,315,4,2016
3118,AUPALUK,831,3,2013
3119,WEMINDJI,618,2,2010
3120,INUVIK,3809,14,2011
3121,MIRABEL,3294,27,2003
3122,THE PAS,1523,4,2007
3123,RESOLUTE,582,5,2008
3124,WABUSH,2446,10,2004
3125,PICKLE LAKE,1013,5,2003
3126,YARMOUTH,876,2,2009
3127,NORTH BAY,2171,4,2005
3128,ATTAWAPISKAT,571,3,2017
3129,KUGAARUK,446,7,2015
3130,WHITEHORSE,2565,8,2011
3131,MARY'S HARBOUR,10,2,2017
3132,GILLAM,261,2,2003
3133,LLOYDMINSTER,556,2,2003
3134,FORT NELSON,855,2,2009
3135,NORTH BAY,2686,5,2003
3136,PEACE RIVER,35,1,2007
3137,SANIKILUAQ,209,4,2005
3138,DEER LAKE,4946,19,2016
3139,MUNICIPAL,261,1,2007
3140,MUSKRAT DAM,966,4,2013
3141,FORT NORMAN,1300,2,2006
3142,LLOYDMINSTER,557,2,2004
3143,MOOSONEE,1364,3,2003
3144,FORT ST JOHN,2786,5,2011
3145,HAY RIVER,1126,4,2003
3146,SACHIGO LAKE,411,7,2004
3147,CHURCHILL FALLS,567,3,2018
3148,LYTTON,122,1,2006
3149,AKLAVIK,503,1,2012
3150,GODS NARROWS,155,4,2009
3151,PANGNIRTUNG,1896,6,2009
3152,BELLA BELLA,1180,4,2014
3153,CAMPBELL RIVER,4327,7,2005
3154,WEMINDJI,720,2,2012
3155,GJOA HAVEN,1046,11,2003
3156,SANIKILUAQ,209,2,2003
3157,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,31295,83,2004
3158,FORT MCPHERSON,470,1,2016
3159,CAMBRIDGE BAY,1394,13,2003
3160,CHURCHILL FALLS,565,4,2017
3161,MAKKOVIK,576,2,2008
3162,FORT NELSON,812,3,2006
3163,PICKLE LAKE,480,7,2007
3164,AUPALUK,741,3,2005
