,AirportName,Number of Departures,Number of Connections,Year
708,FORT CHIPEWYAN,391,3,2013
709,KUUJJUARAPIK,1254,10,2004
710,MASSET,356,1,2013
711,POWELL RIVER,1456,1,2013
712,FORT NORMAN,1160,4,2013
713,FORT FRANKLIN,739,4,2013
714,AKLAVIK,476,1,2013
715,NATASHQUAN,1032,6,2013
716,MARY'S HARBOUR,218,2,2013
717,ILES DE LA MADELE,1469,4,2015
718,NATASHQUAN,932,4,2011
719,HOPEDALE,610,2,2013
720,PORT HARDY,1550,3,2013
721,GILLAM,312,1,2005
722,BROUGHTON ISLAND,576,3,2007
723,BAIE COMEAU,1135,4,2016
724,FORT ALBANY,622,2,2008
725,SANDSPIT,412,1,2013
726,VANCOUVER INTL,116628,197,2007
727,GOOSE BAY,3778,11,2013
728,MUSKRAT DAM,404,4,2015
729,PENTICTON,1123,1,2013
730,LONDON,5229,11,2013
731,ILES DE LA MADELE,1435,4,2013
732,SALLUIT,734,5,2016
733,PORT MENIER,126,4,2017
734,GASPE,1460,2,2013
735,CASTLEGAR,1364,2,2013
736,MIRABEL,523,3,2014
737,BAIE COMEAU,1879,6,2013
738,FORT NELSON,618,2,2015
739,SMITHERS,1512,6,2013
740,PORT HARDY,1184,2,2006
